,Datum,Max výška,Doba nad 10°,Osvětleno nad 10°,Vychází,Dosahuje 10°,Nejvyšší poloha,Klesne pod 10°,Zapadá,Výška při stínu,Čas stínu,Výška Slunce,Scénář,Priorita,Oblačnost,Nízká,Střední,Vysoká
0,20260823--01,24°,05:33,00:00,00:30:10,00:32:30,00:35:16,00:38:03,00:40:23,0°,00:30:10,-25.0°,B,3,3,0,0,1
1,20260823--02,13°,03:20,00:00,20:28:00,20:30:55,20:32:35,20:34:15,20:37:11,0°,20:28:00,-19.6°,B,4,0,0,0,0
2,20260823--03,28°,05:47,00:00,22:04:02,22:06:18,22:09:11,22:12:05,22:14:21,0°,22:04:02,-26.9°,B,3,1,0,1,0
3,20260823--04,27°,05:47,00:00,23:40:49,23:43:05,23:45:59,23:48:52,23:51:09,0°,23:40:49,-27.6°,B,3,1,0,1,0
4,20260824--01,13°,03:15,00:00,01:17:59,01:20:57,01:22:34,01:24:12,01:27:09,0°,01:17:59,-21.5°,B,4,11,11,0,0
5,20260824--02,25°,05:33,00:00,21:14:45,21:17:04,21:19:50,21:22:37,21:24:56,0°,21:14:45,-24.2°,B,3,0,0,0,0
6,20260824--03,30°,05:55,00:00,22:51:25,22:53:39,22:56:36,22:59:34,23:01:49,0°,22:51:25,-28.5°,B,3,0,0,0,0
7,20260825--01,17°,04:24,00:00,00:28:28,00:31:05,00:33:16,00:35:29,00:38:05,0°,00:28:28,-25.7°,B,3,0,0,0,0
8,20260825--02,21°,05:10,00:00,20:25:27,20:27:51,20:30:26,20:33:01,20:35:26,4°,20:26:32,-20.0°,B,3,63,18,19,63
9,20260825--03,30°,05:57,00:00,22:01:58,22:04:12,22:07:10,22:10:09,22:12:23,0°,22:01:58,-27.5°,B,3,81,8,33,74
10,20260825--04,20°,05:04,00:00,23:38:56,23:41:22,23:43:53,23:46:26,23:48:52,0°,23:38:56,-28.3°,B,3,97,6,35,89
11,20260826--01,17°,04:33,01:07,19:36:10,19:38:43,19:40:59,19:43:16,19:45:50,15°,19:39:50,-14.7°,A+B,2,100,10,19,100
12,20260826--02,30°,05:55,00:00,21:12:29,21:14:43,21:17:40,21:20:38,21:22:52,1°,21:12:42,-24.7°,B,3,78,9,23,43
13,20260826--03,24°,05:29,00:00,22:49:21,22:51:41,22:54:26,22:57:10,22:59:30,0°,22:49:21,-29.2°,B,3,70,8,24,30
14,20260827--01,14°,03:32,03:04,18:46:54,18:49:45,18:51:31,18:53:17,18:56:09,12°,18:52:49,-8.4°,A+B,4,100,0,42,100
15,20260827--02,28°,05:48,00:28,20:22:58,20:25:13,20:28:07,20:31:01,20:33:17,13°,20:25:41,-20.4°,A+B,2,71,0,59,37
16,20260827--03,27°,05:44,00:00,21:59:44,22:02:01,22:04:53,22:07:45,22:10:02,0°,21:59:44,-28.1°,B,3,66,0,34,47
17,20260827--04,13°,02:58,00:00,23:36:55,23:39:58,23:41:27,23:42:56,23:45:59,0°,23:36:55,-29.1°,B,4,77,0,24,65
18,20260828--01,25°,05:35,02:41,19:33:25,19:35:43,19:38:30,19:41:18,19:43:37,25°,19:38:24,-15.0°,A+B,2,79,70,70,62
19,20260828--02,29°,05:53,00:00,21:10:05,21:12:20,21:15:16,21:18:13,21:20:27,5°,21:11:15,-25.2°,B,3,57,48,23,35
20,20260828--03,16°,04:15,00:00,22:47:08,22:49:47,22:51:55,22:54:02,22:56:41,0°,22:47:08,-29.8°,B,3,45,28,0,7
21,20260829--01,22°,05:13,04:41,18:43:52,18:46:15,18:48:52,18:51:28,18:53:52,13°,18:50:56,-8.7°,A+B,2,76,37,30,45
22,20260829--02,30°,05:56,01:09,20:20:23,20:22:37,20:25:35,20:28:33,20:30:47,18°,20:23:46,-20.9°,A+B,2,74,9,41,62
23,20260829--03,20°,04:58,00:00,21:57:20,21:59:48,22:02:17,22:04:46,22:07:14,0°,21:57:20,-28.7°,B,3,94,5,78,92
