,Datum,Max výška,Doba nad 10°,Osvětleno nad 10°,Vychází,Dosahuje 10°,Nejvyšší poloha,Klesne pod 10°,Zapadá,Výška při stínu,Čas stínu,Výška Slunce,Scénář,Priorita,Oblačnost,Nízká,Střední,Vysoká
0,20260825--01,40°,06:19,00:00,03:39:25,03:41:35,03:44:45,03:47:54,03:50:04,0°,03:39:25,-35.6°,B,3,35,20,0,0
1,20260825--02,16°,04:11,00:00,05:17:01,05:19:41,05:21:46,05:23:52,05:26:32,4°,05:25:15,-17.3°,B,3,3,0,2,0
2,20260825--03,79°,06:35,06:35,20:16:45,20:18:50,20:22:07,20:25:25,20:27:31,4°,20:26:31,-11.0°,A,1,1,0,0,0
3,20260825--04,12°,02:29,00:53,21:55:16,21:58:31,21:59:46,22:01:00,22:04:17,12°,21:59:24,-30.2°,A+B,4,0,0,0,0
4,20260826--01,25°,05:36,00:00,02:49:58,02:52:18,02:55:06,02:57:54,03:00:14,0°,02:49:58,-43.4°,B,3,0,0,0,0
5,20260826--02,28°,05:46,00:00,04:27:10,04:29:26,04:32:19,04:35:12,04:37:28,0°,04:27:10,-27.3°,B,3,0,0,0,0
6,20260826--03,17°,04:23,04:23,21:05:07,21:07:46,21:09:57,21:12:09,21:14:48,8°,21:12:40,-21.0°,A,2,12,2,0,0
7,20260827--01,17°,04:28,00:00,02:00:28,02:03:06,02:05:20,02:07:34,02:10:12,0°,02:00:28,-49.1°,B,3,0,0,0,0
8,20260827--02,52°,06:28,00:00,03:37:24,03:39:31,03:42:45,03:45:59,03:48:06,0°,03:37:24,-36.4°,B,3,0,0,0,0
9,20260827--03,24°,05:33,00:00,20:15:02,20:17:22,20:20:08,20:22:55,20:25:15,-,-,-10.9°,A+B,2,69,67,0,0
10,20260828--01,12°,02:35,00:00,01:10:55,01:14:10,01:15:27,01:16:45,01:19:59,0°,01:10:55,-51.9°,B,4,70,68,0,0
11,20260828--02,80°,06:37,00:00,02:47:41,02:49:46,02:53:05,02:56:23,02:58:29,0°,02:47:41,-44.2°,B,3,70,69,0,0
12,20260829--01,43°,06:21,00:00,01:57:58,02:00:07,02:03:17,02:06:28,02:08:37,0°,01:57:58,-49.9°,B,3,32,32,0,0
13,20260829--02,15°,03:48,00:00,03:35:36,03:38:23,03:40:16,03:42:11,03:44:57,0°,03:35:36,-37.2°,B,3,29,29,0,0
14,20260829--03,11°,02:10,00:00,20:13:39,20:17:02,20:18:07,20:19:12,20:22:35,-,-,-11.0°,A+B,4,2,0,0,0
15,20260830--01,26°,05:40,00:00,01:08:14,01:10:33,01:13:23,01:16:13,01:18:32,0°,01:08:14,-52.6°,B,3,2,0,0,0
16,20260830--02,26°,05:37,00:00,02:45:27,02:47:45,02:50:33,02:53:22,02:55:39,0°,02:45:27,-45.0°,B,3,1,0,0,0
17,20260831--01,17°,04:35,00:00,00:18:28,00:21:04,00:23:21,00:25:39,00:28:14,0°,00:18:28,-51.6°,B,3,,,,
18,20260831--02,49°,06:23,00:00,01:55:24,01:57:32,02:00:44,02:03:55,02:06:03,0°,01:55:24,-50.8°,B,3,,,,
19,20260831--03,12°,02:46,00:00,23:28:39,23:31:49,23:33:12,23:34:35,23:37:45,0°,23:28:39,-47.0°,B,4,,,,
